port,h3
Baa,615096573675700223
Baa,615096573203841023
Baa,615096573713448959
Baa,615096572998320127
Baa,615096573002514431
Baa,615096573702963199
Baa,615096573109469183
Baa,615096573778460671
Baa,615096573057040383
Baa,615096573086400511
Baa,615096573679894527
Baa,615096573075914751
Baa,615096573040263167
Baa,615096573585522687
Baa,615096573593911295
Baa,615096573669408767
Baa,615096573025583103
Baa,615096573015097343
Baa,615096573245784063
Baa,615096573000417279
Baa,615096573591814143
Baa,615096573090594815
Baa,615096573671505919
Baa,615096573065428991
Baa,615096573589716991
Baa,615096573776363519
Baa,615096573732323327
Baa,615096573042360319
Baa,615096573010903039
Baa,615096573208035327
Baa,615096573241589759
Baa,615096573092691967
Baa,615096573019291647
Baa,615096573071720447
Baa,615096573067526143
Raijua,615096529065082879
Raijua,615096529568399359
Raijua,615096529515970559
Raijua,615096529757143039
Raijua,615096529725685759
Raijua,615096529549524991
Raijua,615096529048305663
Raijua,615096529004265471
Raijua,615096529042014207
Raijua,615096529052499967
Raijua,615096528987488255
Raijua,615096529062985727
Raijua,615096529532747775
Raijua,615096529717297151
Raijua,615096529058791423
Raijua,615096529547427839
Raijua,615096529562107903
Raijua,615096529803280383
Raijua,615096529071374335
Raijua,615096529748754431
Raijua,615096528974905343
Raijua,615096529054597119
Raijua,615096529069277183
Raijua,615096529541136383
Raijua,615096529545330687
Raijua,615096529083957247
Raijua,615096529002168319
Raijua,615096528985391103
Raijua,615096529518067711
Raijua,615096529050402815
Raijua,615096529513873407
Raijua,615096529572593663
Raijua,615096529551622143
Raijua,615096529759240191
Raijua,615096529614536703
Raijua,615096529570496511
Raijua,615096528977002495
Raijua,615096529564205055
Raijua,615096529807474687
Raijua,615096529522262015
Raijua,615096529566302207
Raijua,615096529060888575
Raijua,615096529524359167
Raijua,615096529000071167
Raijua,615096529658576895
Raijua,615096529746657279
Raijua,615096529799086079
Raijua,615096529752948735
Raijua,615096529067180031
Raijua,615096529755045887
Raijua,615096529574690815
Raijua,615096529511776255
Raijua,615096529088151551
Raijua,615096529534844927
