port,prov,kode_hirarki,geometry,h3
Garongkong,Sulawesi Selatan,PP,"POLYGON ((-4.346136891171449 119.64225121958266, -4.41008172468308 119.64225392315277, -4.41008172468308 119.57854607684723, -4.346136891171449 119.57854878041734, -4.346136891171449 119.64225121958266))","['889505c087fffff', '889505c0edfffff', '889505c285fffff', '889505c2bbfffff', '889505c2b7fffff', '889505c767fffff', '889505c0d5fffff', '889505c2a1fffff', '889505c2abfffff', '889505c09bfffff', '889505c283fffff', '889505c0d3fffff', '889505c093fffff', '889505c0ddfffff', '889505c705fffff', '889505c083fffff', '889505c725fffff', '889505c08dfffff', '889505c747fffff', '889505c2b1fffff', '889505c761fffff', '889505c0e9fffff', '889505c729fffff', '889505c099fffff', '889505c0c3fffff', '889505c2bdfffff', '889505c2a7fffff', '889505c0e1fffff', '889505c295fffff', '889505c0c9fffff', '889505c0cdfffff', '889505c0c7fffff', '889505c2a3fffff', '889505c08bfffff', '889505c081fffff', '889505c769fffff', '889505c0d9fffff', '889505c297fffff', '889505c2b3fffff', '889505c091fffff', '889505c0c1fffff', '889505c70dfffff', '889505c721fffff', '889505c727fffff', '889505c09dfffff', '889505c0d1fffff', '889505c085fffff', '889505c287fffff', '889505c095fffff', '889505c013fffff', '889505c2b5fffff', '889505c569fffff', '889505c2b9fffff', '889505c0c5fffff', '889505c765fffff', '889505c763fffff', '889505c0dbfffff', '889505c0cbfffff', '889505c709fffff', '889505c01bfffff', '889505c0e3fffff', '889505c0d7fffff', '889505c0ebfffff', '889505c72dfffff', '889505c097fffff', '889505c2a9fffff', '889505c089fffff', '889505c76dfffff', '889505c76bfffff']"
Marabatuan,Kalimantan Selatan,PL,"POLYGON ((-4.3315068810325945 115.84215060663425, -4.395451739463409 115.84215330108307, -4.395451739463409 115.77844669891692, -4.3315068810325945 115.77844939336575, -4.3315068810325945 115.84215060663425))","['8895345829fffff', '889534580dfffff', '8895345b0bfffff', '8895345b13fffff', '889534586dfffff', '8895345b57fffff', '888d96da41fffff', '8895345b1bfffff', '8895345b15fffff', '8895345a05fffff', '8895345843fffff', '8895345b0dfffff', '8895345b3bfffff', '888d96da4bfffff', '8895345b07fffff', '8895345b59fffff', '8895345861fffff', '8895345b39fffff', '8895345a3dfffff', '8895345a2dfffff', '8895345b03fffff', '8895345b31fffff', '8895345841fffff', '8895345a07fffff', '8895345845fffff', '8895345b51fffff', '8895345847fffff', '889534584dfffff', '8895345a65fffff', '8895345b17fffff', '8895345a21fffff', '8895345a67fffff', '8895345b4bfffff', '8895345b1dfffff', '8895345b5bfffff', '8895345805fffff', '8895345849fffff', '8895345b05fffff', '8895345869fffff', '8895345a27fffff', '8895345b5dfffff', '8895345b3dfffff', '8895345b21fffff', '8895345a35fffff', '8895345a29fffff', '8895345a63fffff', '889534584bfffff', '888d96da49fffff', '889534586bfffff', '8895345a31fffff', '8895345b35fffff', '8895345b41fffff', '8895345867fffff', '8895345b53fffff', '888d96da4dfffff', '8895345b33fffff', '8895345b47fffff', '8895345b23fffff', '8895345863fffff', '8895345a39fffff', '8895345a23fffff', '8895345b2bfffff', '8895345865fffff', '8895345b11fffff', '8895345a2bfffff', '8895345b43fffff', '8895345b01fffff', '8895345b09fffff', '8895345a25fffff', '8895345b29fffff', '8895345b63fffff', '8895345b55fffff', '8895345b19fffff']"
Awerange/ Barru,Sulawesi Selatan,PR,"POLYGON ((-4.1868967830374775 119.64684466016803, -4.25084188332847 119.64684726450434, -4.25084188332847 119.58315273549564, -4.1868967830374775 119.58315533983196, -4.1868967830374775 119.64684466016803))","['889505d449fffff', '889505d689fffff', '889505d6e3fffff', '889505d4c5fffff', '889505d447fffff', '889505d6abfffff', '889505d41dfffff', '889505d6a3fffff', '889505d6edfffff', '889505d6a7fffff', '889505d615fffff', '889505d681fffff', '889505d6ebfffff', '889505d617fffff', '889505d44bfffff', '889505d6a9fffff', '889505d443fffff', '889505d459fffff', '889505d6e9fffff', '889505d415fffff', '889505d46bfffff', '889505d6bdfffff', '889505d417fffff', '889505d683fffff', '889505d635fffff', '889505d6a5fffff', '889505d445fffff', '889505d6c5fffff', '889505d63dfffff', '889505d40bfffff', '889505d631fffff', '889505d6c7fffff', '889505d6e5fffff', '889505d441fffff', '889505d685fffff', '889505d6e1fffff', '889505d4cdfffff', '889505d40dfffff', '889505d637fffff', '889505d413fffff', '889505d4c9fffff', '889505d419fffff', '889505d455fffff', '889505d607fffff', '889505d401fffff', '889505d68dfffff', '889505d409fffff', '889505d63bfffff', '889505d411fffff', '889505d639fffff', '889505d457fffff', '889505d45dfffff', '889505d6a1fffff', '889505d603fffff', '889505d451fffff', '889505d68bfffff', '889505d463fffff', '889505d6e7fffff', '889505d45bfffff', '889505d6adfffff', '889505d613fffff', '889505d4c1fffff', '889505d453fffff', '889505d633fffff', '889505d41bfffff', '889505d687fffff', '889505d403fffff']"
Pomalaa,Sulawesi Tenggara,PR,"POLYGON ((-4.140826752666159 121.63544280852477, -4.204771928309826 121.63544538417048, -4.204771928309826 121.57175461582952, -4.140826752666159 121.57175719147523, -4.140826752666159 121.63544280852477))","['88952bcaa1fffff', '88952bc85bfffff', '88952bcac3fffff', '88952bca13fffff', '88952bc135fffff', '88952bca55fffff', '88952bcacdfffff', '88952bca27fffff', '88952bcac9fffff', '88952bcaebfffff', '88952bcae3fffff', '88952bca15fffff', '88952bca23fffff', '88952bca0bfffff', '88952bc125fffff', '88952bca59fffff', '88952bc859fffff', '88952bca8dfffff', '88952bcae5fffff', '88952bc137fffff', '88952bca33fffff', '88952bca01fffff', '88952bc121fffff', '88952bcaabfffff', '88952bca53fffff', '88952bcae7fffff', '88952bca03fffff', '88952bca89fffff', '88952bc131fffff', '88952bca39fffff', '88952bca3bfffff', '88952bca3dfffff', '88952bcaddfffff', '88952bca35fffff', '88952bca1bfffff', '88952bca11fffff', '88952bca5bfffff', '88952bca19fffff', '88952bca17fffff', '88952bc123fffff', '88952bc127fffff', '88952bca07fffff', '88952bcaedfffff', '88952bca57fffff', '88952bca2bfffff', '88952bca09fffff', '88952bca37fffff', '88952bcacbfffff', '88952bc13dfffff', '88952bcae1fffff', '88952bcac1fffff', '88952bca85fffff', '88952bc84bfffff', '88952bca1dfffff', '88952bca81fffff', '88952bca31fffff', '88952bc12bfffff', '88952bca5dfffff', '88952bcae9fffff', '88952bc849fffff', '88952bcaa9fffff', '88952bd8b7fffff', '88952bcac5fffff', '88952bcaadfffff', '88952bca51fffff', '88952bc12dfffff', '88952bcac7fffff']"
Lapuko,Sulawesi Tenggara,PL,"POLYGON ((-4.125736742807315 122.7332422065215, -4.1896819429537775 122.73324477277156, -4.1896819429537775 122.66955522722846, -4.125736742807315 122.66955779347852, -4.125736742807315 122.7332422065215))","['889576c9b5fffff', '889576522dfffff', '8895765363fffff', '889576526bfffff', '8895765343fffff', '889576c987fffff', '88952b2693fffff', '8895765247fffff', '8895765229fffff', '8895765265fffff', '88952b2697fffff', '889576c9bdfffff', '8895765269fffff', '889576c9a1fffff', '8895765261fffff', '889576536dfffff', '8895765315fffff', '8895765361fffff', '889576c9b1fffff', '8895765355fffff', '889576c9a5fffff', '8895765301fffff', '889576c981fffff', '8895765349fffff', '889576c9b7fffff', '889576c995fffff', '889576530dfffff', '889576c997fffff', '8895765245fffff', '8895765267fffff', '889576c98dfffff', '8895765345fffff', '889576c993fffff', '8895765341fffff', '88952b2691fffff', '889576c9bbfffff', '8895765317fffff', '889576c985fffff', '889576c9b9fffff', '889576c9b3fffff', '8895765263fffff', '889576c9e3fffff', '8895765353fffff', '889576c9abfffff', '8895765303fffff', '889576535bfffff', '889576c9a9fffff', '8895765309fffff', '889576c983fffff', '889576530bfffff', '8895765311fffff', '8895765369fffff', '8895765347fffff', '889576536bfffff', '889576531dfffff', '8895765357fffff', '889576c9a7fffff', '889576534dfffff', '8895765225fffff', '8895765359fffff', '889576526dfffff', '8895765351fffff', '889576c9a3fffff', '889576534bfffff', '88952b269bfffff', '889576535dfffff', '8895765319fffff']"
Mesuji/ Lampung,Lampung,PR,"POLYGON ((-4.1132867347063975 105.78344171150792, -4.177231955002521 105.78344427000677, -4.177231955002521 105.71975572999322, -4.1132867347063975 105.71975828849207, -4.1132867347063975 105.78344171150792))","['888ca810b5fffff', '888ca81193fffff', '888ca810b9fffff', '888ca811d1fffff', '888ca810e1fffff', '888ca811b1fffff', '888ca81033fffff', '888ca80247fffff', '888ca810e7fffff', '888ca811b3fffff', '888ca80269fffff', '888ca811abfffff', '888ca81085fffff', '888ca80267fffff', '888ca81183fffff', '888ca80263fffff', '888ca8020dfffff', '888ca81087fffff', '888ca810e3fffff', '888ca81191fffff', '888ca810bdfffff', '888ca810a9fffff', '888ca811b9fffff', '888ca81037fffff', '888ca810a5fffff', '888ca810abfffff', '888ca811d7fffff', '888ca80261fffff', '888ca8119bfffff', '888ca8119dfffff', '888ca8026bfffff', '888ca810a1fffff', '888ca811bbfffff', '888ca811d3fffff', '888ca80265fffff', '888ca811bdfffff', '888ca81187fffff', '888ca8026dfffff', '888ca80249fffff', '888ca81181fffff', '888ca811dbfffff', '888ca80241fffff', '888ca8024bfffff', '888ca810a7fffff', '888ca810e5fffff', '888ca811c3fffff', '888ca8024dfffff', '888ca80205fffff', '888ca810adfffff', '888ca80245fffff', '888ca811d5fffff', '888ca8118bfffff', '888ca81195fffff', '888ca811d9fffff', '888ca81197fffff', '888ca810a3fffff', '888ca80243fffff', '888ca810b7fffff', '888ca81199fffff', '888ca81185fffff', '888ca80229fffff', '888ca81189fffff', '888ca811ddfffff', '888ca810b1fffff']"
Mesuji/ Oki,Sumatera Selatan,PL,"POLYGON ((-4.060266700542886 105.69253962032072, -4.124212005977136 105.69254214581672, -4.124212005977136 105.6288578541833, -4.060266700542886 105.6288603796793, -4.060266700542886 105.69253962032072))","['888ca80055fffff', '888ca800cdfffff', '888ca800ddfffff', '888ca80015fffff', '888ca800e3fffff', '888ca802b9fffff', '888ca8005dfffff', '888ca802b7fffff', '888ca802bbfffff', '888ca802a5fffff', '888ca80013fffff', '888ca800edfffff', '888ca80051fffff', '888ca802a9fffff', '888ca80059fffff', '888ca800c3fffff', '888ca802bdfffff', '888ca80033fffff', '888ca802a3fffff', '888ca802edfffff', '888ca80001fffff', '888ca8001bfffff', '888ca8005bfffff', '888ca802b3fffff', '888ca802a1fffff', '888ca802b5fffff', '888ca800e9fffff', '888ca802e7fffff', '888ca80003fffff', '888ca80233fffff', '888ca8003bfffff', '888ca80053fffff', '888ca800ebfffff', '888ca8003dfffff', '888ca80085fffff', '888ca80011fffff', '888ca80081fffff', '888ca802a7fffff', '888ca802e1fffff', '888ca800c5fffff', '888ca802e5fffff', '888ca80031fffff', '888ca80057fffff', '888ca800c7fffff', '888ca802abfffff', '888ca800e1fffff', '888ca800c1fffff', '888ca800c9fffff', '888ca800cbfffff', '888ca8000bfffff', '888ca8008dfffff', '888ca802e3fffff', '888ca80039fffff', '888ca802b1fffff', '888ca80287fffff', '888ca802adfffff', '888ca80089fffff', '888ca80007fffff', '888ca8002bfffff', '888ca8001dfffff', '888ca80017fffff', '888ca80285fffff', '888ca80019fffff']"
Kolaka,Sulawesi Tenggara,PP,"POLYGON ((-4.019726674787366 121.61363803981949, -4.083672044585357 121.61364054008824, -4.083672044585357 121.54995945991176, -4.019726674787366 121.54996196018051, -4.019726674787366 121.61363803981949))","['88952bc359fffff', '88952bd1a9fffff', '88952bc315fffff', '88952bc36dfffff', '88952bc22dfffff', '88952bd185fffff', '88952bc265fffff', '88952bc269fffff', '88952bc31dfffff', '88952bd1a1fffff', '88952bd1e7fffff', '88952bd1a5fffff', '88952bda91fffff', '88952bc367fffff', '88952bc351fffff', '88952bc26dfffff', '88952bc319fffff', '88952bc26bfffff', '88952bd1bbfffff', '88952bc30bfffff', '88952bc363fffff', '88952bd1abfffff', '88952bc361fffff', '88952bc343fffff', '88952bc261fffff', '88952bdab3fffff', '88952bc35dfffff', '88952bc309fffff', '88952bc349fffff', '88952bd1b9fffff', '88952bd1a3fffff', '88952bc357fffff', '88952bc355fffff', '88952bc34bfffff', '88952bc305fffff', '88952bc329fffff', '88952bc303fffff', '88952bd1b3fffff', '88952bc339fffff', '88952bda93fffff', '88952bc347fffff', '88952bc345fffff', '88952bda97fffff', '88952bc30dfffff', '88952bc353fffff', '88952bc301fffff', '88952bd1a7fffff', '88952bc307fffff', '88952bd1b5fffff', '88952bc369fffff', '88952bdabbfffff', '88952bc35bfffff', '88952bc34dfffff', '88952bc341fffff', '88952bc36bfffff', '88952bc365fffff', '88952bd187fffff', '88952bda95fffff', '88952bc33bfffff', '88952bd1b7fffff', '88952bd1adfffff', '88952bda99fffff', '88952bd1bdfffff', '88952bda9bfffff', '88952bd1b1fffff', '88952bc311fffff', '88952bc267fffff']"
Langara,Sulawesi Tenggara,PR,"POLYGON ((-3.989506655794923 123.02183687205864, -4.053452073157917 123.02183935352615, -4.053452073157917 122.95816064647384, -3.989506655794923 122.95816312794135, -3.989506655794923 123.02183687205864))","['88957618cbfffff', '8895761815fffff', '8895761839fffff', '8895761837fffff', '8895761abdfffff', '8895761857fffff', '8895761aa3fffff', '889576184bfffff', '8895761801fffff', '88957618c1fffff', '88957619d9fffff', '8895761ae7fffff', '8895761835fffff', '8895761817fffff', '8895761811fffff', '889576188dfffff', '88957618e7fffff', '88957618c9fffff', '8895761855fffff', '889576183dfffff', '8895761aa7fffff', '8895761aa9fffff', '8895761821fffff', '8895761853fffff', '8895761851fffff', '88957618e3fffff', '8895761aadfffff', '8895761a37fffff', '8895761847fffff', '8895761843fffff', '8895761805fffff', '8895761ab1fffff', '8895761859fffff', '889576181bfffff', '8895761833fffff', '8895761831fffff', '8895761aa1fffff', '88957618ebfffff', '889576185bfffff', '88957618a9fffff', '88957618e1fffff', '889576180dfffff', '8895761807fffff', '8895761aabfffff', '8895761823fffff', '889576183bfffff', '88957618e9fffff', '889576182bfffff', '88957618c7fffff', '88957618e5fffff', '8895761819fffff', '889576185dfffff', '88957618c5fffff', '889576181dfffff', '8895761803fffff', '88957618edfffff', '8895761ab5fffff', '8895761829fffff', '8895761809fffff', '8895761813fffff', '889576180bfffff', '8895761aa5fffff', '88957618cdfffff']"
Pare-Pare and Marabombang,"Sulawesi Selatan, Sulawesi Selatan","PP, PL","POLYGON ((-3.9498966311684933 119.64583535490227, -3.9498966311684933 119.58216464509773, -4.01384211034024 119.58216218826821, -4.01384211034024 119.58836218329763, -4.045152080974428 119.58836097081046, -4.045152080974428 119.65203902918954, -3.9812066506095043 119.65203655288525, -3.9812066506095043 119.64583655785486, -3.9498966311684933 119.64583535490227))","['8895059165fffff', '88952364e5fffff', '8895059a53fffff', '8895059a47fffff', '8895059321fffff', '88952364bbfffff', '88952364bdfffff', '88952366a1fffff', '88952364dbfffff', '88952364c5fffff', '8895059a41fffff', '8895236593fffff', '889505932dfffff', '88952366b5fffff', '8895236485fffff', '88952364e3fffff', '8895059a01fffff', '88952364e7fffff', '88952364b7fffff', '8895236495fffff', '889505916dfffff', '8895236489fffff', '88952364b3fffff', '8895236595fffff', '88952364a7fffff', '8895236491fffff', '8895059a0bfffff', '88952364d1fffff', '8895059a4bfffff', '8895059167fffff', '8895236481fffff', '889505932bfffff', '88952364abfffff', '8895059161fffff', '8895236599fffff', '8895059365fffff', '8895236413fffff', '88952364d7fffff', '8895059a49fffff', '8895059a5dfffff', '88952366a7fffff', '88952366b3fffff', '88952364d5fffff', '88952364c1fffff', '88952364adfffff', '8895059a51fffff', '88952364b1fffff', '8895059a4dfffff', '88952364c9fffff', '8895059329fffff', '88952364c7fffff', '8895059a59fffff', '88952365d3fffff', '8895059145fffff', '8895059a1dfffff', '889505912dfffff', '8895059a09fffff', '8895236597fffff', '8895059a57fffff', '8895059169fffff', '889523648dfffff', '88952364a3fffff', '889523649bfffff', '88952365dbfffff', '88952364a1fffff', '88952364b5fffff', '8895059a55fffff', '88952364e1fffff', '8895236487fffff', '889523659bfffff', '88952364cbfffff', '88952364cdfffff', '889505914dfffff', '88952364b9fffff', '8895059a5bfffff', '8895059a0dfffff', '8895236497fffff', '88952364ddfffff', '889523648bfffff', '88952364c3fffff', '8895236483fffff', '8895059a43fffff', '8895059a69fffff', '889505916bfffff', '889523649dfffff', '8895059325fffff', '88952364e9fffff', '8895059a45fffff', '8895059327fffff', '8895059a6bfffff', '8895236591fffff', '8895059a19fffff', '88952366a3fffff', '8895059367fffff', '88952366b7fffff', '88952364ebfffff', '88952364a5fffff', '88952364a9fffff', '8895236499fffff', '88952364d9fffff', '88952365bbfffff', '8895236493fffff', '88952364d3fffff']"
Pelaihari/ Swarangan and Mataritip,"Kalimantan Selatan, kalimantan Timur","PL, PR","POLYGON ((-3.9799966498546695 115.04103650641112, -3.9799966498546695 114.9773634935889, -4.043942082112826 114.97736101803729, -4.043942082112826 115.04103898196273, -3.9799966498546695 115.04103650641112))","['888d9675b1fffff', '888d966665fffff', '888d9674e5fffff', '888d966759fffff', '888d9674a1fffff', '888d967437fffff', '888d967587fffff', '888d9675ebfffff', '888d9675dbfffff', '888d9662dbfffff', '888d9675cbfffff', '888d967595fffff', '888d9675e7fffff', '888d96759bfffff', '888d967423fffff', '888d967585fffff', '888d9675edfffff', '888d966669fffff', '888d96666dfffff', '888d9675c5fffff', '888d967583fffff', '888d9675adfffff', '888d967597fffff', '888d9675d9fffff', '888d9675c1fffff', '888d9675e3fffff', '888d967433fffff', '888d9675d5fffff', '888d9674adfffff', '888d967431fffff', '888d9674abfffff', '888d9675d3fffff', '888d9675a3fffff', '888d967421fffff', '888d96758dfffff', '888d9674a9fffff', '888d96758bfffff', '888d967591fffff', '888d9675d1fffff', '888d96759dfffff', '888d9675ddfffff', '888d9675bdfffff', '888d9675bbfffff', '888d9675c9fffff', '888d9675b9fffff', '888d9674a7fffff', '888d967589fffff', '888d9675e9fffff', '888d967599fffff', '888d9674a5fffff', '888d9675c7fffff', '888d9675a1fffff', '888d9675b5fffff', '888d967581fffff', '888d96675bfffff', '888d9675abfffff', '888d9675d7fffff', '888d9675a9fffff', '888d96742bfffff', '888d9675cdfffff', '888d9674e7fffff', '888d967593fffff', '888d967513fffff', '888d9675c3fffff', '888d967435fffff', '888d96743dfffff', '888d9675e1fffff', '888d9675e5fffff', '888d967427fffff', '888d9675b3fffff', '888d96664dfffff', '888d9675b7fffff']"
Gorom and Kataloka/ Ondor,"Maluku, Maluku","PL, PL","POLYGON ((-3.9607066378592157 131.34476423256325, -4.024652100222987 131.34476176901035, -4.024652100222987 131.40843823098965, -3.996942126111786 131.40843716343952, -3.996942126111786 131.41223715855577, -3.9329966207537153 131.4122347122365, -3.9329966207537153 131.3485652877635, -3.9607066378592157 131.3485642276804, -3.9607066378592157 131.34476423256325))","['8872b2421dfffff', '8872b25563fffff', '8872b24285fffff', '8872b242b9fffff', '8872b24257fffff', '8872b24213fffff', '8872b25533fffff', '8872b242c1fffff', '8872b24043fffff', '8872b25529fffff', '8872b242d7fffff', '8872b24235fffff', '8872b24055fffff', '8872b24051fffff', '8872b2553dfffff', '8872b2401bfffff', '8872b24231fffff', '8872b242e5fffff', '8872b242cbfffff', '8872b24239fffff', '8872b2423bfffff', '8872b242c7fffff', '8872b24203fffff', '8872b2553bfffff', '8872b24211fffff', '8872b255e5fffff', '8872b2421bfffff', '8872b242a7fffff', '8872b242e9fffff', '8872b2405dfffff', '8872b2405bfffff', '8872b25535fffff', '8872b242d5fffff', '8872b242d1fffff', '8872b242a9fffff', '8872b24019fffff', '8872b255edfffff', '8872b24047fffff', '8872b25539fffff', '8872b242adfffff', '8872b24281fffff', '8872b242a1fffff', '8872b24283fffff', '8872b24057fffff', '8872b24215fffff', '8872b24233fffff', '8872b242ebfffff', '8872b24253fffff', '8872b24219fffff', '8872b2428bfffff', '8872b242c9fffff', '8872b242a5fffff', '8872b2428dfffff', '8872b242e7fffff', '8872b25531fffff', '8872b25521fffff', '8872b2404bfffff', '8872b25525fffff', '8872b25537fffff', '8872b242bdfffff', '8872b2425bfffff', '8872b2552bfffff', '8872b24053fffff', '8872b242e3fffff', '8872b242e1fffff', '8872b240c9fffff', '8872b25505fffff', '8872b24059fffff', '8872b2552dfffff', '8872b25567fffff', '8872b242abfffff', '8872b24237fffff', '8872b242a3fffff', '8872b242edfffff', '8872b25507fffff', '8872b242d9fffff', '8872b242c5fffff', '8872b24287fffff', '8872b24289fffff', '8872b242ddfffff', '8872b25527fffff', '8872b25523fffff', '8872b242c3fffff', '8872b242cdfffff', '8872b24217fffff']"
Kendari/Bungkutoko,Sulawesi Tenggara,PP,"POLYGON ((-3.9461166288342397 122.64303521091695, -4.010062113872654 122.64303766539555, -4.010062113872654 122.57936233460444, -3.9461166288342397 122.57936478908304, -3.9461166288342397 122.64303521091695))","['889576ca47fffff', '889576d8b7fffff', '889576d8abfffff', '889576d8a9fffff', '889576ca5dfffff', '889576d8e5fffff', '889576ca43fffff', '889576d8bbfffff', '889576d83bfffff', '889576d889fffff', '889576d989fffff', '889576d9ddfffff', '889576d8e9fffff', '889576d99dfffff', '889576ca49fffff', '889576d881fffff', '889576d99bfffff', '889576d8e7fffff', '889576d98bfffff', '889576d8a1fffff', '889576ca4bfffff', '889576d887fffff', '889576d9d9fffff', '889576d895fffff', '889576d9d1fffff', '889576d981fffff', '889576d8e1fffff', '889576d8edfffff', '889576d88bfffff', '889576d8bdfffff', '889576d9d3fffff', '889576d9d7fffff', '889576d8a5fffff', '889576d8b9fffff', '889576d983fffff', '889576d817fffff', '889576d997fffff', '889576d9dbfffff', '889576d8b5fffff', '889576d999fffff', '889576d891fffff', '889576d833fffff', '889576d885fffff', '889576d8c7fffff', '889576d837fffff', '889576ca69fffff', '889576ca09fffff', '889576d89dfffff', '889576ca4dfffff', '889576ca45fffff', '889576d8adfffff', '889576d8b1fffff', '889576d993fffff', '889576d883fffff', '889576d8e3fffff', '889576d8ebfffff', '889576d88dfffff', '889576d8a3fffff', '889576d8a7fffff', '889576d995fffff', '889576d9d5fffff', '889576d991fffff', '889576ca41fffff']"
Pulau Baai,Bengkulu,PU,"POLYGON ((-3.8759265859920218 102.33763256252718, -3.939872178961411 102.33763497336193, -3.939872178961411 102.27396502663808, -3.8759265859920218 102.27396743747283, -3.8759265859920218 102.33763256252718))","['888cf02229fffff', '888cf022ebfffff', '888cf0220bfffff', '888cf02319fffff', '888cf02209fffff', '888cf022c9fffff', '888cf02227fffff', '888cf022e7fffff', '888cf02219fffff', '888cf022e5fffff', '888cf02251fffff', '888cf02207fffff', '888cf02257fffff', '888cf0223bfffff', '888cf0222bfffff', '888cf022adfffff', '888cf0224bfffff', '888cf02235fffff', '888cf0222dfffff', '888cf03525fffff', '888cf02221fffff', '888cf02255fffff', '888cf0204dfffff', '888cf022edfffff', '888cf02233fffff', '888cf0221bfffff', '888cf022e1fffff', '888cf0225dfffff', '888cf02205fffff', '888cf03527fffff', '888cf0223dfffff', '888cf02203fffff', '888cf02217fffff', '888cf02239fffff', '888cf0204bfffff', '888cf022cdfffff', '888cf02253fffff', '888cf0231bfffff', '888cf02237fffff', '888cf02243fffff', '888cf02223fffff', '888cf022e9fffff', '888cf02263fffff', '888cf02225fffff', '888cf02247fffff', '888cf02231fffff', '888cf0205bfffff', '888cf022c5fffff', '888cf0205dfffff', '888cf02213fffff', '888cf02241fffff', '888cf022c1fffff', '888cf02049fffff', '888cf02201fffff', '888cf02053fffff', '888cf0221dfffff', '888cf02215fffff', '888cf0220dfffff', '888cf02211fffff', '888cf02051fffff', '888cf02059fffff']"
Geser,Maluku,PR,"POLYGON ((-3.847046568641109 130.9339314867425, -3.9109922054647868 130.93393387962502, -3.9109922054647868 130.87026612037496, -3.847046568641109 130.87026851325749, -3.847046568641109 130.9339314867425))","['88954d2261fffff', '88954d2205fffff', '88954d30bbfffff', '88954d2259fffff', '88954d30b5fffff', '88954d2215fffff', '88954d225bfffff', '88954d30a3fffff', '88954d2201fffff', '88954d2263fffff', '88954d30a1fffff', '88954d226dfffff', '88954d2219fffff', '88954d30b3fffff', '88954d2257fffff', '88954d2247fffff', '88954d3525fffff', '88954d356bfffff', '88954d356dfffff', '88954d2267fffff', '88954d30a5fffff', '88954d223bfffff', '88954d2241fffff', '88954d3561fffff', '88954d30a9fffff', '88954d2203fffff', '88954d30b7fffff', '88954d30abfffff', '88954d224bfffff', '88954d30a7fffff', '88954d220dfffff', '88954d352dfffff', '88954d2211fffff', '88954d224dfffff', '88954d30b9fffff', '88954d3197fffff', '88954d2253fffff', '88954d3567fffff', '88954d3563fffff', '88954d2245fffff', '88954d30b1fffff', '88954d2251fffff', '88954d319bfffff', '88954d2255fffff', '88954d2249fffff', '88954d2207fffff', '88954d3565fffff', '88954d220bfffff', '88954d3087fffff', '88954d225dfffff', '88954d3193fffff', '88954d2265fffff', '88954d2217fffff', '88954d2209fffff', '88954d2243fffff', '88954d221dfffff', '88954d226bfffff', '88954d2239fffff', '88954d2269fffff', '88954d30bdfffff']"
Namrole,Maluku,PR,"POLYGON ((-3.8195265522574218 126.7638304691608, -3.8834722305694087 126.76383284493934, -3.8834722305694087 126.70016715506065, -3.8195265522574218 126.7001695308392, -3.8195265522574218 126.7638304691608))","['88954466c1fffff', '88954466e3fffff', '88954466e5fffff', '8895446681fffff', '88954464cdfffff', '88954466a3fffff', '8895446631fffff', '88954466abfffff', '8895446459fffff', '889544645dfffff', '88954466ebfffff', '8895446683fffff', '8895446633fffff', '88954464c1fffff', '8895446639fffff', '8895446689fffff', '88954466a5fffff', '88954466a7fffff', '8895446615fffff', '88954466e7fffff', '88954466e1fffff', '88954466c5fffff', '889544640bfffff', '88954466b5fffff', '8895446617fffff', '8895446637fffff', '889544663bfffff', '8895446455fffff', '88954464cbfffff', '8895446409fffff', '88954466d7fffff', '88954466a9fffff', '88954466b9fffff', '8895446419fffff', '8895446457fffff', '889544641dfffff', '88954466edfffff', '889544668bfffff', '88954466d5fffff', '8895446451fffff', '88954466c7fffff', '889544645bfffff', '8895446443fffff', '88954466cdfffff', '8895446613fffff', '8895446611fffff', '88954466bdfffff', '88954466e9fffff', '8895446685fffff', '889544668dfffff', '889544644bfffff', '8895446453fffff', '88954466c3fffff', '88954466a1fffff', '88954464c9fffff', '8895446687fffff', '889544641bfffff', '88954466adfffff', '889544661dfffff', '8895446411fffff']"
Ambalau,Maluku,PL,"POLYGON ((-3.7932365367428713 127.21012950393329, -3.8571822544146404 127.21013186337487, -3.8571822544146404 127.14646813662512, -3.7932365367428713 127.1464704960667, -3.7932365367428713 127.21012950393329))","['8895454865fffff', '8895454857fffff', '8895454803fffff', '88954549cbfffff', '88954549c3fffff', '889545495bfffff', '88954549cdfffff', '8895454951fffff', '8895454827fffff', '8895454837fffff', '8895454b33fffff', '889545481dfffff', '8895454805fffff', '88954549ddfffff', '889545482bfffff', '889545491dfffff', '889545482dfffff', '8895454835fffff', '8895454845fffff', '889545480dfffff', '889545490bfffff', '8895454957fffff', '8895454831fffff', '889545495dfffff', '8895454809fffff', '889545484dfffff', '889545480bfffff', '8895454853fffff', '8895454b13fffff', '88954549c9fffff', '8895454863fffff', '8895454815fffff', '8895454843fffff', '8895454841fffff', '8895454b17fffff', '8895454911fffff', '8895454867fffff', '8895454953fffff', '8895454807fffff', '8895454955fffff', '8895454839fffff', '8895454959fffff', '8895454825fffff', '8895454b3bfffff', '8895454b11fffff', '889545483bfffff', '8895454801fffff', '8895454821fffff', '8895454847fffff', '8895454855fffff', '889545486dfffff', '8895454823fffff', '8895454819fffff', '889545486bfffff', '889545483dfffff', '8895454861fffff', '8895454869fffff', '8895454919fffff', '8895454829fffff', '889545491bfffff', '88954549c1fffff']"
